"business_activities","cuisine_name","license_no","licensing_agency","location_gps","number_of_employees","load_timestamp"
"Food & Beverages Trading (Sub-activity of Trading)","Others","595521","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Arabic cuisine","801928","Department of Economic Development- Dubai","25.19866931807281,55.27929026489867","19.00","2026-06-29T16:24:56.000Z"
"Corporate Office Management","","572244","Department of Economic Development- Dubai","25.233884,55.354211299999996","33.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","574957","Department of Economic Development- Dubai","25.131395886589676,55.22799488162582","85.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Pakistani cuisine","1021332","Department of Economic Development- Dubai","25.271343117651796,55.30891343951225","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","965008","Department of Economic Development- Dubai","25.06581583978522,55.23329709915489","3.00","2026-06-29T16:24:56.000Z"
"General Trading","International cuisine","773831","Department of Economic Development- Dubai","25.2352262,55.2935305","6.00","2026-06-29T16:24:56.000Z"
"Preparation of Sweets and Candies","Indian cuisine","521162","Department of Economic Development- Dubai","25.239084609328934,55.30079666153551","1.00","2026-06-29T16:24:56.000Z"
"General Trading","","202823","Department of Economic Development- Dubai","24.942483512017112,55.23651123046875","212.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Others","217213","Department of Economic Development- Dubai","25.065483380060783,55.24876356124878","6.00","2026-06-29T16:24:56.000Z"
"Global Village","International cuisine","1029305","Department of Economic Development- Dubai","25.07140419603323,55.30849367380142","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","696933","Department of Economic Development- Dubai","25.060088941747722,55.24373529046631","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Thai Cuisine","217213","Department of Economic Development- Dubai","25.197718673081496,55.27848243713379","8.00","2026-06-29T16:24:56.000Z"
"Five Star Hotel","International cuisine","216426","Department of Economic Development- Dubai","25.248967532580057,55.347522497177124","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","825850","Department of Economic Development- Dubai","24.986952693136963,55.02382278442383","5.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","201716","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","1271153","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai",",","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","224613","Department of Economic Development- Dubai","25.204929,55.270840","1.00","2026-06-29T16:24:56.000Z"
"Three Star Hotel","International cuisine","238780","Department of Economic Development- Dubai","25.260618320185124,55.324682763923526","23.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","813072","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","594697","Department of Economic Development- Dubai","25.1326682456333,55.38030713796604","29.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1161157","Department of Economic Development- Dubai","25.206581987528313,55.425860434770584","29.00","2026-06-29T16:24:56.000Z"
"Restaurant","French Cuisine","792140","Department of Economic Development- Dubai","25.22886383860089,55.25804787159723","1.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","202900","Department of Economic Development- Dubai","25.17677326342896,55.39075712512511","8.00","2026-06-29T16:24:56.000Z"
"Three Star Hotel","","845076","Department of Economic Development- Dubai","25.268023250604276,55.31542352860265","14.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","871706","Department of Economic Development- Dubai",",","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","633616","Department of Economic Development- Dubai","25.22968805571461,55.25699877790339","7.00","2026-06-29T16:24:56.000Z"
"Nuts Trading","Not Applicable","580746","Department of Economic Development- Dubai","25.065842961782398,55.191444754600525","1.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","519876","Department of Economic Development- Dubai","25.251625547301245,55.34858618666078","66.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai","25.09725855293644,55.18406867980957","4.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","762987","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","621437","Department of Economic Development- Dubai","25.204929,55.270840","10.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","914123","Department of Economic Development- Dubai","25.19474467523424,55.27607414871454","16.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2618641,55.315122200000005","9.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Japanese Cuisine","870703","Department of Economic Development- Dubai","25.044003747129132,55.11965274810791","23.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","764694","Department of Economic Development- Dubai","25.085598897064752,55.31839370727539","15.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","779629","Department of Economic Development- Dubai","25.25971874125011,55.3273068393446","1.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","630500","Department of Economic Development- Dubai","25.204929,55.270840","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","740055","Department of Economic Development- Dubai",",","12.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","725788","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","","670160","Department of Economic Development- Dubai","25.296664273216305,55.388668961016606","1.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Others","217213","Department of Economic Development- Dubai","24.93354982756001,55.052104214935305","10.00","2026-06-29T16:24:56.000Z"
"Five Star Hotel","Not Applicable","816803","Department of Economic Development- Dubai","25.110452056487308,55.109825134277344","30.00","2026-06-29T16:24:56.000Z"
"Chilled Food Trading","Not Applicable","719125","Department of Economic Development- Dubai","24.925227,54.9969743","1.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","567245","Department of Economic Development- Dubai","25.261861600000003,55.3254198","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","93467","Department of Economic Development- Dubai","25.204849,55.270783","5.00","2026-06-29T16:24:56.000Z"
"Central Kitchen","International cuisine","675614","Department of Economic Development- Dubai","25.115942688711865,55.21852412549288","11.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","766189","Department of Economic Development- Dubai","25.2352466,55.2935245","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","2205","Department of Economic Development- Dubai","24.61270466969693,55.10012358427048","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","685736","Department of Economic Development- Dubai","25.24758180656031,55.30690039278261","10.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.261915,55.3150506","3.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","696933","Department of Economic Development- Dubai","25.139389224198535,55.18880009651184","2.00","2026-06-29T16:24:56.000Z"
"Water Purification","Not Applicable","821118","Department of Economic Development- Dubai","24.959759538091394,55.09188652038574","75.00","2026-06-29T16:24:56.000Z"
"Pub","International cuisine","720556","Department of Economic Development- Dubai","25.234404238383,55.324047803878784","8.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","781695","Department of Economic Development- Dubai","25.15922177155502,55.40962337362362","1.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Others","570176","Department of Economic Development- Dubai","24.93374789028838,55.4748059023285","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.246685467454522,55.339968101696755","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","Others","689520","Department of Economic Development- Dubai","24.911584259778632,55.010443013457305","3.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","201716","Department of Economic Development- Dubai","24.97887317087929,55.03700165069618","5.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","715587","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.264510072791527,55.29145262267912","8.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","125065","Department of Economic Development- Dubai","25.1761931,55.5410147","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","916602","Department of Economic Development- Dubai","25.143837068098453, 55.24865098265284","3.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","1004467","Department of Economic Development- Dubai","25.278357097522953,55.30625834592446","1.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Arabic cuisine","217213","Department of Economic Development- Dubai","25.262085499999998,55.3151185","21.00","2026-06-29T16:24:56.000Z"
"Malls/SME/Intaleq","Not Applicable","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","7.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","799973","Department of Economic Development- Dubai",",","6.00","2026-06-29T16:24:56.000Z"
"Juice Trading","Not Applicable","720299","Department of Economic Development- Dubai","25.175004338889376,55.41310562132036","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","599685","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","203303","Department of Economic Development- Dubai","25.064685736912505,55.3034301460327","8.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","790290","Department of Economic Development- Dubai","25.204849,55.270783","22.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","613360","Department of Economic Development- Dubai","25.216218930661995,55.40779066893967","10.00","2026-06-29T16:24:56.000Z"
"Serving more than 50 meals","Arabic cuisine","217213","Department of Economic Development- Dubai","25.14328776833536,55.246347552125144","242.00","2026-06-29T16:24:56.000Z"
"Corporate Office Management","Not Applicable","782011","Department of Economic Development- Dubai","25.180787846559124,55.26875594328135","13.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","794090","Department of Economic Development- Dubai","25.071644715540202,55.30845880508423","1.00","2026-06-29T16:24:56.000Z"
"Five Star Hotel","International cuisine","690501","Department of Economic Development- Dubai","25.14019543098742,55.133539729125914","368.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","International cuisine","780065","Department of Economic Development- Dubai","25.194340269019985,55.27723789215088","8.00","2026-06-29T16:24:56.000Z"
"Permanent Food Truck","Not Applicable","766189","Department of Economic Development- Dubai","24.921991, 54.999716","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","720543","Department of Economic Development- Dubai","25.2612851,55.3154544","2.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai",",","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","628505","Department of Economic Development- Dubai","25.262088,55.3151326","2.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","766189","Department of Economic Development- Dubai","24.92418, 55.010396","2.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","2.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","4.00","2026-06-29T16:24:56.000Z"
"Supermarket","Others","233641","Department of Economic Development- Dubai","25.204929,55.270840","5.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Arabic cuisine","217213","Department of Economic Development- Dubai","25.23200222805657,55.32435894012451","6.00","2026-06-29T16:24:56.000Z"
